,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,27.804661054,27.669483894,28.82150541,29.279874268000004,31.139179306000003,32.959805439,32.388120926,32.080361238,33.90159143299999,34.127863334000004,34.952157571,33.053973641,34.428389849,34.191329614000004,34.851024354,34.986716102,35.054255713,35.88072443,33.088747968,32.135470872000006,33.181152508000004,32.970983993000004,32.148185734,31.566632871,32.228080409,32.750525464,34.533962445,33.43711458399999,33.525561729,33.919502558,33.90423223199999
AL,8.620132135999999,7.484210764999999,7.221870466,8.225784031,7.900906146,8.871570157999999,9.198018683,9.739005039000002,10.314227057,11.334057325,11.976127955,11.554744828,11.715580812,11.97233596,14.685895314,14.967721501,14.856387288,14.014629095999998,12.406251775,11.126908135,10.508299384,9.033421727,8.585079872000001,7.726317934999999,8.478228500999998,8.031763037,7.708457979,7.944094488999999,7.438180117,7.679099855,8.073377986
AR,23.736773045,23.803311903,24.674450293,26.125294924,27.202067659,27.800693407,29.608770347,31.352331408,32.175705402000006,34.060944651,34.576374603,35.483006724000006,36.706545251,37.525102886000006,37.849799835,39.209317537,39.780198653,39.177750125,36.405622341,33.672183766,35.825038674000005,34.905966692,34.948923554000004,34.198436228,35.52024214,36.187472337,37.10963355799999,37.372778011,38.370813356,39.062726146,35.522984147
AZ,17.183761168,17.089107325,17.491238929999998,18.053821175,19.175633646,19.703768971,20.172996949,20.863167563,21.215759445000003,22.386456308,22.590846589,21.136442387999995,20.994153799000003,21.450417169,21.036382497,21.399847502000004,21.566642182,21.828282951,20.566585195,20.254810126,20.445358538,19.981823192,19.790645391,19.272023558,20.027751779,19.386008903,20.093780515,20.201677977,20.379456407,20.411560639,19.249930156999994
CA,182.676307345,171.66823717100002,183.021337132,178.753318465,185.215178594,188.263934452,193.524268414,191.508952985,194.065550148,199.57710837,209.066151394,204.978046759,214.74748008,210.38063904300003,216.499094355,218.180553785,217.657179913,218.763391153,202.400358668,191.87972959,186.229355984,180.426769554,177.547843197,176.882800945,179.95016573700002,181.553391752,189.415143544,193.649909879,194.938180538,195.939600866,153.641149635
CO,19.038648062,18.952117813,19.771243909,21.351385661,21.811702941000004,22.591346432,23.351499601,23.758086918,25.170631305,27.129735921,27.459833824000004,28.621084453,28.534715084,27.077237319,29.957603034,30.387604119,30.69964845,30.995665228,29.969107854,28.379240439,28.24468376,27.494051545,27.721016856,27.580083151,29.055755619,28.765984981,29.611151367,29.926524719,30.748766224000004,31.114100977000003,26.285013283
CT,15.30965948,15.070529057,15.374975129,15.475156834,15.482711987,15.17502499,15.716526264,16.519659463999997,16.574786499,17.926356522000003,17.910508338999996,18.057899263,17.873750812,19.192362715,20.893607546,19.122084778,18.460857128,18.390573099000004,17.258363388,16.940081079,16.745802753,16.508860495,15.930920356,15.485777133,15.590556273,15.750231029000002,15.873122815,15.976933971,16.460018455000004,16.048430697,13.664208357
DC,4.3226082,4.497318976000001,4.445300828000001,4.490919963999999,4.4092181020000005,4.2994042320000005,4.409957941,4.336718866999999,4.429814669,4.58603013,4.577285686,4.536299752,4.836855764000001,4.771237392000001,4.8161319460000005,5.053880592,5.087276005,5.083034604000001,4.706294796,4.650549660000001,5.280356938,4.929441654,4.744839439,4.551045592,4.625187316999999,4.8424807350000005,5.591684333,5.337229652,5.597329166,5.809154875,4.913833138999999
DE,1.851047765,1.843569017,1.863283428,1.936664054,1.864352729,1.86712688,1.817382533,1.884482825,1.844140804,1.910148067,1.943890741,1.813011114,1.726806379,1.6584991100000002,1.6788974439999995,1.604936001,1.477846408,1.4621453779999998,1.308501521,1.343858034,1.2807134850000002,1.336317751,1.160734102,1.174737246,1.2647507569999998,1.22647881,1.2925426809999998,1.074129312,1.931775632,1.2979848859999998,0.993660671
FL,76.663808567,72.623846632,75.98703857699999,79.87384203599999,82.149294093,84.030142584,86.548862236,88.737250626,90.943627709,95.336916868,101.193307576,99.476844727,102.043483532,102.994215034,109.334451571,111.38567228,112.186101156,109.62510173500002,102.50404595,98.286584072,100.509860548,97.994358775,97.869563339,97.93037104200002,99.44325451099998,101.726730995,104.291866759,107.020870038,110.97280057700002,109.537975763,93.343729782
