,HQ State,Service Area Population,Service Area SQ Miles,Passenger Miles FY,Unlinked Passenger Trips FY,Miles Per Person,Trips Per Person
0,WA,6177562.0,5994.0,678216857.0,116395619.0,109.78713884215165,18.8416755671574
1,OR,2527725.0,1116.0,211458353.0,49203010.0,83.65560058946285,19.46533345201713
2,ID,1580926.0,733.0,8558086.0,1028342.0,5.413337499667916,0.6504681433539584
3,AK,388828.0,7415.0,34635915.0,2360169.0,89.07772845576964,6.069956381742055
4,RI,1048319.0,1436.0,47674379.0,7985997.0,45.476976950718246,7.617907335458004
5,NH,1218043.0,3353.0,3046801.0,472486.0,2.5013903450042405,0.3879058456885348
6,MA,7430170.0,10598.0,604124759.0,138287837.0,81.30699014961972,18.611665278183406
7,ME,664714.0,4419.0,19291915.0,2124861.0,29.022880517034395,3.196654501033527
8,CT,4246130.0,2507.0,106301409.0,23910319.0,25.0348927140714,5.631085011528144
9,VT,284655.0,2091.0,5981608.0,1446856.0,21.01353568354675,5.082840631641812
10,NY,56946017.0,21463.0,9588906483.0,1979123715.0,168.38590279281516,34.75438352431215
11,NJ,31495323.0,16206.0,1468644815.0,154677779.0,46.63056844979808,4.911134869135966
12,PA,10426549.0,14445.0,637845537.0,143132378.0,61.17513445723988,13.72768477853986
13,WV,524193.0,1328.0,12310627.0,3375177.0,23.484912999601292,6.438805935981595
14,VA,3645644.0,2158.0,165110659.0,27624789.0,45.28984700645483,7.577478492140209
15,DC,4914725.0,1349.0,373010574.0,91421440.0,75.89653012121737,18.60153721724003
16,MD,11217498.0,6106.0,276470227.0,55588920.0,24.64633619725183,4.9555542599606435
17,DE,973764.0,1949.0,32996522.0,5180322.0,33.88554310900793,5.319894758894352
18,TN,5400380.0,14445.0,57721964.0,11766268.0,10.688500438858007,2.1787851965972767
19,NC,5087820.0,3968.0,127242629.0,28867746.0,25.009263102861343,5.6738929443258606
20,MS,285568.0,181.0,5872817.0,1022203.0,20.56538897915733,3.5795432261317797
21,KY,1808983.0,4545.0,44828681.0,8847313.0,24.781151066649052,4.890766248217921
22,GA,5167170.0,3087.0,297103904.0,53381957.0,57.49837996427445,10.330985239502475
23,FL,18599037.0,19082.0,776608277.0,135597619.0,41.75529501876898,7.290572033380008
24,AL,2256952.0,10539.0,22341396.0,3264447.0,9.898923858371822,1.4463962902179577
25,SC,2047199.0,10675.0,28623379.0,5060188.0,13.981727716748592,2.4717616606885797
26,PR,3743730.0,3702.0,39062878.0,7680237.0,10.434213471591168,2.051493296792237
27,VI,87146.0,132.0,0.0,0.0,0.0,0.0
28,WI,2527873.0,1472.0,91266263.0,26680444.0,36.103974764555026,10.554503331456921
29,OH,7754809.0,7101.0,244046234.0,48652808.0,31.470308810958464,6.273888628333721
30,MN,2610702.0,898.0,189020817.0,40542830.0,72.40229524472728,15.529474447868811
31,MI,16903008.0,8245.0,170213771.0,28646568.0,10.070028423343349,1.6947615477671194
32,IN,4559885.0,5724.0,89400423.0,15075129.0,19.605850366840393,3.3060327179303863
33,IL,10735361.0,12616.0,1270247919.0,239166883.0,118.32372651464631,22.278420166774083
34,TX,19840973.0,48701.0,805919799.0,139701676.0,40.61896556181998,7.04106981043722
35,OK,1386935.0,579.0,17536470.0,3487508.0,12.644046043974663,2.5145432194010535
36,NM,2743681.0,1851.0,24126725.0,4540953.0,8.79356054876642,1.6550586602451232
37,LA,1933858.0,610.0,49477208.0,12416063.0,25.58471614772129,6.420359199072528
38,AR,825635.0,3439.0,6926994.0,1368839.0,8.38989868404319,1.6579226898084505
39,NE,1630343.0,529.0,17271051.0,4013339.0,10.593507623855839,2.4616531613286283
40,MO,2861422.0,1253.0,146162835.0,28771995.0,51.08048900162227,10.055138668815715
41,IA,1273213.0,5164.0,23417369.0,7143666.0,18.3923420511729,5.61073913005915
42,KS,1157291.0,534.0,12995823.0,2775605.0,11.229520492253029,2.398363937851413
43,UT,2313982.0,640.0,179038205.0,24707687.0,77.37234127145328,10.677562314659319
44,SD,216103.0,106.0,2006157.0,440542.0,9.283337112395477,2.038574198414645
45,ND,319003.0,127.0,4977599.0,1061089.0,15.603611878258198,3.3262665241392715
46,MT,248398.0,134.0,4362195.0,1410950.0,17.561312893018464,5.68019871335518
47,CO,6932229.0,5199.0,311899590.0,52917472.0,44.9926841712817,7.633543554317089
48,WY,117027.0,111.0,0.0,0.0,0.0,0.0
49,NV,2776090.0,489.0,182372738.0,40413204.0,65.69410141602037,14.5575986369318
50,HI,1031684.0,1004.0,141337912.0,29692528.0,136.99728986782773,28.78064213460711
51,CA,65922464.0,26014.0,2427455054.0,483172074.0,36.822881104686864,7.329399489679269
52,AZ,4030978.0,1287.0,290197622.0,64711856.0,71.99186450533841,16.053636611264064
