,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,PT,1616625.0,1656153.0,1706721.0,1854683.0,1886743.0,1991736.0,1176076.0,1142452.0,1177175.0,1177101.0,1119392.0,1103355.0,1012714.0,902626.0,870776.0,854155.0,883312.0,887915.0,455391.0,468104.0,552215.0,144058.0
1,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,TX,,,,,,,,,80727.0,76630.0,76736.0,86383.0,96244.0,110018.0,110665.0,103861.0,143747.0,177791.0,86460.0,88944.0,110794.0,31375.0
2,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",FB,DO,,,,,,,,,,,,,,,601942.0,599954.0,664365.0,701608.0,146930.0,286843.0,400407.0,62917.0
3,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",LR,DO,357935.0,403590.0,398109.0,374327.0,,,413937.0,451204.0,520932.0,714461.0,,,,,,,,,,,,
4,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,DO,70032459.0,70211189.0,73290439.0,73131328.0,80247942.0,86241356.0,93025610.0,90615060.0,87470766.0,90587293.0,94652420.0,97702518.0,99570061.0,101362882.0,100924131.0,101129569.0,103435175.0,103527532.0,48865810.0,42112037.0,53503564.0,14880705.0
5,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,PT,,,,,,,893652.0,846678.0,817030.0,826988.0,939664.0,1007014.0,1074519.0,940099.0,978883.0,883578.0,826450.0,834720.0,391935.0,424166.0,480077.0,130553.0
6,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",SR,DO,,,,,,,,,,,750888.0,760933.0,707714.0,622225.0,1358297.0,1417507.0,1685668.0,1863409.0,749443.0,829953.0,1117605.0,291385.0
7,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",TB,DO,23658662.0,23511665.0,23276378.0,21726273.0,22425302.0,23269984.0,24159712.0,19719228.0,20721095.0,20581975.0,18970601.0,19008030.0,19464383.0,18769283.0,18999529.0,19339147.0,17950742.0,17373451.0,8385163.0,7976186.0,9575043.0,2558227.0
8,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",VP,DO,1800027.0,1810153.0,1674689.0,1790616.0,1959606.0,2311547.0,2768945.0,3172678.0,2849584.0,3122742.0,3442588.0,3523814.0,3414782.0,3561398.0,3540538.0,3626422.0,3464738.0,3300186.0,1084802.0,512160.0,702709.0,236779.0
9,2.0,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96.0,"Spokane, WA",DR,DO,261486.0,282234.0,283268.0,273581.0,270997.0,274830.0,276690.0,277200.0,258640.0,255329.0,257891.0,251244.0,247941.0,232508.0,226888.0,239886.0,255092.0,231791.0,117972.0,143809.0,167704.0,46906.0
10,2.0,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96.0,"Spokane, WA",DR,PT,153023.0,166054.0,173701.0,189626.0,217573.0,239990.0,237770.0,244378.0,256552.0,225904.0,232215.0,231743.0,227230.0,230955.0,240398.0,236879.0,220234.0,209306.0,87843.0,108392.0,142612.0,41530.0
11,2.0,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96.0,"Spokane, WA",MB,DO,7522394.0,7487408.0,7740359.0,7691052.0,8420620.0,9046264.0,11110265.0,11150243.0,10710562.0,10832037.0,11030806.0,11092515.0,11324434.0,10815736.0,10261816.0,10264971.0,10069599.0,9971798.0,5817776.0,5238135.0,6595319.0,2018300.0
12,2.0,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96.0,"Spokane, WA",VP,DO,93694.0,101831.0,111298.0,129507.0,163712.0,168307.0,231726.0,212067.0,219306.0,232825.0,250436.0,241287.0,246331.0,219578.0,193006.0,178457.0,157433.0,155262.0,90770.0,70298.0,90576.0,24431.0
13,3.0,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,DO,170641.0,167737.0,163247.0,150599.0,124380.0,121065.0,125500.0,125647.0,124936.0,125057.0,105571.0,114577.0,114030.0,113364.0,106022.0,100374.0,96206.0,84997.0,33406.0,24351.0,37778.0,10496.0
14,3.0,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,PT,305602.0,311048.0,313465.0,289051.0,274770.0,302552.0,326174.0,337602.0,322841.0,312168.0,285013.0,256725.0,258601.0,255047.0,241969.0,224379.0,203837.0,206145.0,116883.0,138673.0,177331.0,48231.0
15,3.0,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,DO,12921475.0,13368776.0,14115207.0,12270085.0,12409428.0,13300678.0,14985550.0,14251052.0,14124784.0,12149043.0,10575749.0,10344992.0,10231241.0,9104336.0,8588447.0,8543157.0,8654242.0,8376891.0,4755960.0,4363241.0,4950296.0,1503571.0
