,Top 150,NTD ID,Agency,Mode,TOS,Month,Year,Estimated UPT
0,Y,12,Municipality of Anchorage,DR,PT,3/2023,2023,9628.0
1,N,376,"Ride Connection, Inc.",DR,DO,3/2023,2023,2995.0
2,N,376,"Ride Connection, Inc.",DR,TX,3/2023,2023,2960.0
3,N,376,"Ride Connection, Inc.",MB,DO,3/2023,2023,7512.0
4,N,415,Ada County Highway District,VP,DO,3/2023,2023,9964.0
5,Y,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,MB,DO,3/2023,2023,1276155.0
6,Y,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,RB,DO,3/2023,2023,105547.0
7,N,10053,Cape Ann Transportation Authority,DR,PT,3/2023,2023,4707.0
8,N,10053,Cape Ann Transportation Authority,MB,PT,3/2023,2023,8738.0
9,Y,10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,MB,DO,3/2023,2023,672631.0
10,Y,10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,MB,DO,3/2023,2023,321881.0
11,N,10066,Green Mountain Transit Authority,CB,DO,3/2023,2023,10663.0
12,N,10066,Green Mountain Transit Authority,DR,DO,3/2023,2023,8839.0
13,N,10066,Green Mountain Transit Authority,DR,PT,3/2023,2023,7257.0
14,N,10066,Green Mountain Transit Authority,MB,DO,3/2023,2023,176590.0
15,Y,10102,Connecticut Department of Transportation,CB,PT,3/2023,2023,21109.0
16,Y,10102,Connecticut Department of Transportation,CR,PT,3/2023,2023,18365.0
17,N,10107,Milford Transit District,MB,DO,3/2023,2023,22299.0
18,N,10118,MetroWest Regional Transit Authority,DR,PT,3/2023,2023,13234.0
19,N,10118,MetroWest Regional Transit Authority,MB,PT,3/2023,2023,30767.0
20,N,11238,Bay State LLC,FB,DO,3/2023,2023,
21,N,20135,Monsey New Square Trails Corporation,CB,DO,3/2023,2023,55123.0
22,N,20149,"Rockland Coaches, Inc.",CB,DO,3/2023,2023,37414.0
23,N,20177,"Adirondack Transit Lines, Inc,",CB,DO,3/2023,2023,26582.0
24,N,20178,Ulster County ,DR,DO,3/2023,2023,904.0
25,N,20217,"Hampton Jitney, Inc.",CB,DO,3/2023,2023,30020.0
26,N,30007,Greater Roanoke Transit Company,MB,DO,3/2023,2023,116607.0
27,N,30015,Luzerne County Transportation Authority,MB,DO,3/2023,2023,64557.0
28,N,30044,Westmoreland County ,MB,DO,3/2023,2023,17484.0
29,Y,30051,"Montgomery County, Maryland",DR,DO,3/2023,2023,962.0
30,Y,30068,"Fairfax County, VA",MB,PT,3/2023,2023,711673.0
31,N,30070,Potomac and Rappahannock Transportation Commission,CB,PT,3/2023,2023,80262.0
32,N,30070,Potomac and Rappahannock Transportation Commission,DR,PT,3/2023,2023,331.0
33,N,30070,Potomac and Rappahannock Transportation Commission,MB,PT,3/2023,2023,39640.0
34,N,30070,Potomac and Rappahannock Transportation Commission,VP,PT,3/2023,2023,55063.0
35,N,30076,Williamsburg Area Transit Authority,DR,DO,3/2023,2023,1410.0
36,N,30076,Williamsburg Area Transit Authority,MB,DO,3/2023,2023,59723.0
37,N,30080,"Arlington County, Virginia",DR,PT,3/2023,2023,2268.0
38,N,30080,"Arlington County, Virginia",DR,TX,3/2023,2023,2003.0
39,N,30080,"Arlington County, Virginia",MB,PT,3/2023,2023,167720.0
40,N,30085,"Prince George's County, Maryland",DR,DO,3/2023,2023,3155.0
41,N,30129,Anne Arundel County,DR,PT,3/2023,2023,5035.0
42,N,30129,Anne Arundel County,MB,PT,3/2023,2023,14135.0
43,N,30205,"Transit Management of Central Maryland, Inc.",DR,TX,3/2023,2023,1124.0
44,N,40001,Chattanooga Area Regional Transportation Authority,IP,DO,3/2023,2023,72014.0
45,N,40001,Chattanooga Area Regional Transportation Authority,MB,DO,3/2023,2023,96748.0
46,N,40003,City of Memphis,DR,DO,3/2023,2023,33263.0
47,N,40003,City of Memphis,MB,DO,3/2023,2023,268216.0
48,N,40003,City of Memphis,SR,DO,3/2023,2023,29822.0
49,Y,40007,City of Raleigh,DR,TX,3/2023,2023,79137.0
50,N,40014,Ms Coast Transportation Authority,DR,DO,3/2023,2023,4874.0
51,N,40014,Ms Coast Transportation Authority,MB,DO,3/2023,2023,50333.0
52,N,40014,Ms Coast Transportation Authority,VP,PT,3/2023,2023,6293.0
53,N,40021,City of Albany ,DR,DO,3/2023,2023,907.0
54,N,40021,City of Albany ,MB,DO,3/2023,2023,25844.0
