,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,1/2002,2/2002,3/2002,4/2002,5/2002,6/2002,7/2002,8/2002,9/2002,10/2002,11/2002,12/2002,1/2003,2/2003,3/2003,4/2003,5/2003,6/2003,7/2003,8/2003,9/2003,10/2003,11/2003,12/2003,1/2004,2/2004,3/2004,4/2004,5/2004,6/2004,7/2004,8/2004,9/2004,10/2004,11/2004,12/2004,1/2005,2/2005,3/2005,4/2005,5/2005,6/2005,7/2005,8/2005,9/2005,10/2005,11/2005,12/2005,1/2006,2/2006,3/2006,4/2006,5/2006,6/2006,7/2006,8/2006,9/2006,10/2006,11/2006,12/2006,1/2007,2/2007,3/2007,4/2007,5/2007,6/2007,7/2007,8/2007,9/2007,10/2007,11/2007,12/2007,1/2008,2/2008,3/2008,4/2008,5/2008,6/2008,7/2008,8/2008,9/2008,10/2008,11/2008,12/2008,1/2009,2/2009,3/2009,4/2009,5/2009,6/2009,7/2009,8/2009,9/2009,10/2009,11/2009,12/2009,1/2010,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023
0,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,PT,135144.0,127378.0,136030.0,142204.0,144697.0,131833.0,137547.0,136915.0,132111.0,150074.0,127835.0,114857.0,137888.0,126339.0,140920.0,144048.0,142725.0,135650.0,143660.0,136752.0,136291.0,152853.0,127150.0,131877.0,132563.0,136857.0,156728.0,151997.0,147491.0,150217.0,146303.0,145459.0,142994.0,147128.0,121962.0,127022.0,143393.0,139615.0,157100.0,152143.0,164149.0,159630.0,156130.0,167625.0,156514.0,160198.0,150451.0,147735.0,150003.0,141801.0,163541.0,152336.0,163392.0,162033.0,162413.0,176618.0,165721.0,168266.0,143859.0,136760.0,149158.0,147755.0,164726.0,163174.0,181919.0,172644.0,176029.0,185516.0,162255.0,179185.0,159051.0,150324.0,95701.0,94361.0,97490.0,102270.0,101764.0,96095.0,101836.0,96210.0,95551.0,108679.0,91534.0,94585.0,94608.0,88625.0,97448.0,98250.0,94046.0,94180.0,97728.0,95537.0,95663.0,103539.0,90144.0,92684.0,93494.0,91935.0,106040.0,103020.0,98987.0,99904.0,97480.0,99207.0,97192.0,104089.0,89891.0,95936.0,97988.0,91581.0,108150.0,101288.0,102906.0,100710.0,94743.0,101592.0,96300.0,99660.0,93937.0,88246.0,81322.0,93458.0,99497.0,95576.0,101273.0,92881.0,93252.0,97683.0,88042.0,100203.0,91161.0,85044.0,94010.0,88791.0,95012.0,97481.0,99526.0,89967.0,94243.0,93538.0,86747.0,98441.0,85117.0,80482.0,89760.0,80405.0,87426.0,91219.0,88900.0,83377.0,84799.0,82018.0,80946.0,90614.0,76389.0,76861.0,78761.0,75234.0,80757.0,79109.0,77368.0,76695.0,75763.0,73699.0,71205.0,76889.0,67696.0,69450.0,69003.0,72120.0,77530.0,75395.0,74815.0,73367.0,69480.0,76378.0,71898.0,74847.0,70426.0,65517.0,69528.0,63363.0,76764.0,71981.0,75959.0,72475.0,69215.0,74755.0,67205.0,75435.0,70504.0,66971.0,73712.0,67250.0,74959.0,74077.0,77958.0,72783.0,73821.0,77780.0,68824.0,79872.0,72742.0,69534.0,75357.0,52494.0,74996.0,77393.0,79347.0,73323.0,78161.0,78350.0,73259.0,82385.0,72116.0,70734.0,73573.0,71893.0,40217.0,19769.0,22043.0,25108.0,36591.0,33059.0,34071.0,36070.0,31020.0,31977.0,31199.0,28890.0,35712.0,35814.0,36331.0,41474.0,43135.0,43801.0,43153.0,44676.0,43901.0,40018.0,40600.0,42738.0,48918.0,47823.0,47934.0,48485.0,46783.0,50105.0,47887.0,49032.0,45283.0,36627.0,47779.0,44231.0,52048.0
1,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6404.0,6316.0,6534.0,6692.0,6422.0,6321.0,7062.0,6855.0,7276.0,7671.0,6805.0,6369.0,6240.0,5782.0,6601.0,6987.0,6778.0,6805.0,6193.0,6662.0,6409.0,6116.0,6324.0,5733.0,5989.0,5674.0,5818.0,6234.0,6998.0,6144.0,6068.0,6220.0,5969.0,8232.0,6975.0,6415.0,6970.0,7567.0,7418.0,7447.0,7822.0,6807.0,7153.0,6575.0,7649.0,7276.0,7154.0,6545.0,7129.0,6345.0,6420.0,7786.0,7730.0,7482.0,8157.0,8120.0,9678.0,9912.0,8735.0,8750.0,8310.0,7794.0,8332.0,8833.0,9082.0,8388.0,9038.0,8034.0,9037.0,10347.0,10764.0,12059.0,10141.0,8371.0,10193.0,9277.0,9380.0,8991.0,9205.0,8492.0,7965.0,8858.0,9030.0,10762.0,7555.0,7293.0,8647.0,8110.0,9198.0,8843.0,8549.0,8569.0,8333.0,9894.0,9874.0,8996.0,10108.0,9756.0,11194.0,11112.0,12835.0,10209.0,10194.0,11422.0,12673.0,16334.0,15205.0,12705.0,14513.0,9490.0,15058.0,16394.0,15939.0,14274.0,13790.0,12821.0,15375.0,19564.0,15714.0,14859.0,16639.0,17230.0,4462.0,1938.0,3630.0,6881.0,6416.0,5880.0,6650.0,6139.0,5929.0,4666.0,4177.0,4991.0,7078.0,8081.0,8177.0,4768.0,6679.0,7723.0,8765.0,10827.0,9716.0,7962.0,6469.0,7298.0,10931.0,9229.0,9084.0,8798.0,8817.0,9688.0,9582.0,11356.0,11383.0,8159.0,10034.0,9939.0,11402.0
2,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",FB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27674.0,29363.0,35062.0,53504.0,68182.0,65890.0,76560.0,83035.0,59502.0,44126.0,31648.0,27396.0,29690.0,29192.0,36883.0,42832.0,63252.0,69767.0,89020.0,65502.0,62049.0,52902.0,30879.0,27986.0,36150.0,31605.0,40987.0,48296.0,67867.0,73141.0,92078.0,92929.0,62839.0,55472.0,34159.0,28842.0,59293.0,41375.0,56148.0,58572.0,69194.0,74257.0,90079.0,67308.0,62058.0,56795.0,34259.0,32270.0,37519.0,35751.0,14068.0,2039.0,2221.0,4797.0,9643.0,10630.0,9801.0,8788.0,5586.0,6087.0,5355.0,5253.0,8573.0,12037.0,26121.0,34292.0,52129.0,44759.0,33479.0,27505.0,20047.0,17293.0,15050.0,18317.0,26609.0,29292.0,33559.0,45085.0,61251.0,60786.0,46970.0,30880.0,18357.0,14251.0,19288.0,17590.0,26039.0
3,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",LR,DO,12990.0,17240.0,21498.0,22687.0,31981.0,44346.0,64552.0,61922.0,32321.0,20384.0,13964.0,14050.0,16350.0,17793.0,21133.0,24064.0,32910.0,47554.0,70188.0,73932.0,40997.0,23825.0,18405.0,16439.0,16333.0,20096.0,23230.0,27988.0,33379.0,44854.0,62999.0,66065.0,41974.0,24849.0,19196.0,17146.0,16304.0,19660.0,23613.0,26523.0,33507.0,45838.0,64571.0,65722.0,40915.0,23291.0,14383.0,,,,,,,,,,,,,,,,,,,,,,,,,,26877.0,26471.0,28368.0,28666.0,34360.0,39496.0,50467.0,44448.0,39113.0,35061.0,29354.0,31256.0,31286.0,30126.0,32198.0,34589.0,37271.0,42174.0,50954.0,45329.0,39679.0,36582.0,32736.0,38280.0,32333.0,32068.0,37579.0,37945.0,40646.0,45814.0,56703.0,53783.0,49409.0,45931.0,41713.0,47008.0,43829.0,41557.0,52376.0,54493.0,60001.0,69350.0,75852.0,79464.0,61848.0,59764.0,55182.0,60745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,DO,6045861.0,5406135.0,5999230.0,6058398.0,6134503.0,5654916.0,5946469.0,5999146.0,5571149.0,6024277.0,5498884.0,5693491.0,5998896.0,5423887.0,6018871.0,6076454.0,6018871.0,5766180.0,5946970.0,5828996.0,5715720.0,6088824.0,5400923.0,5926597.0,6093909.0,5751219.0,6567769.0,6319709.0,6127029.0,6155486.0,6099154.0,6202824.0,5966222.0,6293987.0,5605563.0,6107568.0,5896330.0,5476222.0,6410896.0,6055762.0,6116028.0,5991094.0,5814124.0,6366292.0,6183790.0,6560273.0,6354789.0,5905728.0,6421670.0,5925927.0,6763587.0,6486482.0,7093231.0,6848317.0,6693758.0,6994407.0,6685764.0,7400289.0,6704747.0,6229763.0,6967115.0,6484827.0,7181006.0,7248546.0,7624266.0,7213238.0,7267431.0,7524861.0,6854654.0,8031056.0,7304973.0,6539383.0,7487026.0,7136195.0,7585852.0,7969203.0,8018889.0,7913943.0,8347451.0,7802411.0,8014541.0,8744520.0,7304647.0,6700932.0,7887269.0,7008525.0,7867102.0,7923102.0,7773626.0,7713617.0,7784848.0,7369565.0,7332260.0,7956736.0,7085528.0,6912882.0,7386466.0,6803766.0,7644319.0,7375979.0,7303003.0,7351755.0,7262000.0,7199827.0,7137221.0,7905101.0,7098141.0,7003188.0,7487139.0,6936238.0,7829315.0,7721856.0,7924215.0,7701206.0,7331312.0,7739253.0,7382058.0,8046589.0,7472910.0,7015202.0,7225999.0,7653303.0,8019442.0,7981372.0,8406940.0,7996541.0,7967390.0,8119968.0,7702374.0,8702116.0,7818766.0,7058209.0,8120141.0,7526483.0,8205177.0,8498612.0,8733153.0,7991423.0,8254012.0,8125544.0,7850652.0,8968389.0,7954362.0,7474570.0,8311232.0,7704450.0,8380648.0,8584665.0,8626523.0,8252640.0,8396060.0,8128400.0,8264380.0,9172604.0,7915847.0,7832612.0,8354419.0,7869270.0,8634873.0,8665166.0,8590349.0,8569476.0,8593597.0,8420304.0,8243763.0,9221945.0,8219363.0,7980357.0,8383033.0,8326396.0,8887128.0,8556763.0,8727968.0,8541069.0,8141290.0,8642726.0,8211555.0,8709581.0,8209262.0,7587360.0,8322531.0,7741480.0,8897619.0,8522858.0,8976802.0,8667512.0,8348447.0,8750954.0,8240729.0,8990050.0,8256206.0,7414381.0,8792433.0,7910296.0,8957167.0,8725844.0,9201162.0,8674899.0,8665944.0,8863329.0,8173423.0,9462604.0,8361757.0,7646317.0,8688609.0,7614112.0,8662761.0,8904840.0,9280947.0,8622153.0,8840564.0,8718288.0,8437124.0,9619655.0,8420473.0,7718006.0,8705965.0,8305939.0,4773283.0,2590410.0,2607899.0,3188735.0,3339926.0,3393742.0,3328392.0,3118656.0,2745130.0,2767733.0,2779426.0,2532122.0,3157886.0,3215701.0,3331400.0,3583180.0,3853296.0,3837242.0,3998616.0,4452242.0,3948846.0,3422080.0,3510345.0,3502095.0,4311305.0,4465947.0,4646615.0,4664895.0,4649909.0,4809401.0,4804553.0,5267823.0,4698068.0,4172608.0,4903992.0,4624888.0,5351825.0
5,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63737.0,60239.0,63664.0,68238.0,80335.0,81931.0,93769.0,88152.0,82188.0,83653.0,72636.0,55110.0,64185.0,61223.0,62378.0,74507.0,75733.0,79006.0,82821.0,78017.0,75188.0,75180.0,59514.0,58926.0,60655.0,58012.0,64665.0,68847.0,69494.0,74669.0,78222.0,76062.0,72059.0,73859.0,59718.0,60768.0,61971.0,60182.0,67778.0,69464.0,73472.0,78179.0,74648.0,80637.0,73302.0,70585.0,59700.0,57070.0,54096.0,64681.0,73524.0,78018.0,89504.0,84800.0,87723.0,93142.0,82691.0,91232.0,74260.0,65993.0,74954.0,70610.0,75524.0,81974.0,88807.0,85464.0,93694.0,94731.0,82625.0,100247.0,81075.0,77309.0,85950.0,79869.0,86586.0,95504.0,98060.0,97827.0,106939.0,104447.0,98031.0,87720.0,64634.0,68952.0,70123.0,66698.0,75409.0,79611.0,79947.0,89936.0,91806.0,87402.0,83689.0,84469.0,65082.0,65927.0,66082.0,70105.0,77627.0,83469.0,89457.0,90045.0,88045.0,96354.0,85914.0,85660.0,75082.0,71043.0,69474.0,63466.0,75749.0,80645.0,75647.0,80061.0,79221.0,79823.0,70651.0,79019.0,66534.0,63288.0,64632.0,57248.0,65941.0,67524.0,73913.0,73450.0,82685.0,81021.0,68099.0,75867.0,61635.0,54435.0,70170.0,52515.0,69962.0,74335.0,76854.0,73276.0,73532.0,76842.0,68857.0,77534.0,63584.0,57259.0,62560.0,64113.0,40660.0,15922.0,17805.0,22781.0,28871.0,30110.0,26673.0,30341.0,24817.0,27282.0,26459.0,25200.0,31986.0,33621.0,34275.0,39931.0,42570.0,43531.0,42090.0,39911.0,34179.0,30413.0,31895.0,29913.0,36464.0,36619.0,38005.0,42727.0,43627.0,47773.0,45057.0,43505.0,39996.0,44496.0,47215.0,40852.0,42486.0
6,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52257.0,53828.0,59118.0,59778.0,64337.0,66623.0,73888.0,72004.0,64966.0,66392.0,60077.0,57620.0,63220.0,57580.0,61571.0,61648.0,62850.0,66520.0,79079.0,74806.0,61316.0,63656.0,52657.0,56030.0,55111.0,54429.0,56426.0,57633.0,59732.0,60883.0,73593.0,66926.0,60070.0,58892.0,50266.0,53753.0,50344.0,47246.0,54687.0,55332.0,50942.0,56904.0,66040.0,59671.0,48938.0,47616.0,41518.0,42987.0,33718.0,80028.0,102931.0,117855.0,123330.0,120618.0,137614.0,145933.0,130320.0,128521.0,123585.0,113844.0,125007.0,114284.0,76845.0,119668.0,127207.0,121470.0,119087.0,130995.0,124842.0,132530.0,117858.0,107714.0,121995.0,115775.0,135332.0,128142.0,149821.0,146824.0,154060.0,160889.0,140896.0,161091.0,139658.0,131185.0,144077.0,137458.0,153233.0,155732.0,161596.0,156309.0,168529.0,169526.0,156878.0,175512.0,147966.0,136593.0,151399.0,145578.0,85835.0,34918.0,34451.0,30443.0,35696.0,42601.0,45765.0,50587.0,44246.0,47924.0,51342.0,49223.0,57854.0,63135.0,62381.0,67908.0,78111.0,78405.0,77844.0,87339.0,77713.0,78698.0,85910.0,81378.0,98671.0,93072.0,92619.0,92912.0,95312.0,97704.0,94914.0,96756.0,95817.0,92540.0,95549.0,89696.0,106140.0
7,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",TB,DO,2044815.0,1839037.0,2043508.0,2043300.0,2075470.0,1924999.0,2012875.0,2028889.0,1894886.0,1995521.0,1848565.0,1906797.0,1851117.0,1831346.0,2033379.0,2033183.0,2033379.0,1992766.0,2071599.0,2039614.0,1993547.0,1956229.0,1762776.0,1912730.0,1913523.0,1816514.0,2091905.0,2011064.0,1931511.0,1989988.0,1964963.0,2008038.0,1929159.0,1955085.0,1739007.0,1925621.0,1778219.0,1624288.0,1903928.0,1789752.0,1806441.0,1795766.0,1770960.0,1902160.0,1827191.0,1842100.0,1851648.0,1833820.0,1797511.0,1628460.0,1845452.0,1777787.0,2005864.0,1954749.0,1921507.0,1991200.0,1866766.0,1986652.0,1861599.0,1787755.0,1916610.0,1784328.0,1958344.0,1977398.0,2026684.0,1941063.0,1986667.0,2032755.0,1852809.0,2116230.0,1917700.0,1759396.0,2035145.0,1922336.0,1975227.0,2119283.0,2073111.0,2030885.0,2143088.0,2015482.0,2012947.0,2205546.0,1927371.0,1699291.0,1614693.0,1551526.0,1689145.0,1657506.0,1605242.0,1712246.0,1646115.0,1551352.0,1579566.0,1829108.0,1565371.0,1717358.0,1588543.0,1616236.0,1939843.0,1851999.0,1767889.0,1785544.0,1703615.0,1757467.0,1763768.0,1784542.0,1529709.0,1631940.0,1584910.0,1562673.0,1783810.0,1674582.0,1730389.0,1825763.0,1742568.0,1790085.0,1801397.0,1759029.0,1707064.0,1619705.0,1481612.0,1651455.0,1670664.0,1630579.0,1768398.0,1614917.0,1513765.0,1583514.0,1370072.0,1767107.0,1573153.0,1345365.0,1604404.0,1447369.0,1566917.0,1630773.0,1712355.0,1483026.0,1641147.0,1594713.0,1542464.0,1823746.0,1511494.0,1449622.0,1637843.0,1484674.0,1580303.0,1667687.0,1732383.0,1580423.0,1760508.0,1621728.0,1637970.0,1810498.0,1442113.0,1508253.0,1630871.0,1528026.0,1635368.0,1672096.0,1562088.0,1593357.0,1651431.0,1472053.0,1481106.0,1615114.0,1467139.0,1460634.0,1519362.0,1503004.0,1720846.0,1545943.0,1584868.0,1612403.0,1557497.0,1652265.0,1594090.0,1573994.0,1598774.0,1536483.0,1594111.0,1467862.0,1745029.0,1514973.0,1751874.0,1692505.0,1550831.0,1676653.0,1562301.0,1675041.0,1560342.0,1547625.0,1536997.0,1364943.0,1520070.0,1463571.0,1653052.0,1470823.0,1499501.0,1562156.0,1403287.0,1653967.0,1534462.0,1287913.0,1617828.0,1393520.0,1535754.0,1447259.0,1469234.0,1338321.0,1452080.0,1430826.0,1392871.0,1631459.0,1359154.0,1305145.0,1497300.0,1389997.0,863508.0,495138.0,458006.0,274535.0,539670.0,570083.0,593869.0,630329.0,510830.0,561898.0,469084.0,440302.0,576453.0,592107.0,608223.0,649711.0,747003.0,743959.0,812494.0,812920.0,830823.0,693107.0,764676.0,722067.0,820847.0,725677.0,800882.0,820791.0,788387.0,819111.0,847288.0,846428.0,868088.0,750801.0,878388.0,793475.0,886364.0
8,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",VP,DO,174040.0,150307.0,166129.0,156143.0,156143.0,141948.0,141871.0,141871.0,128973.0,159060.0,138313.0,145229.0,160581.0,131694.0,156722.0,155767.0,146333.0,152371.0,154859.0,141316.0,150181.0,163345.0,141471.0,155513.0,140428.0,122427.0,171767.0,145631.0,138996.0,134937.0,140044.0,143872.0,146253.0,146253.0,117538.0,126543.0,142930.0,135611.0,152566.0,152714.0,143269.0,151167.0,148769.0,156478.0,140764.0,163138.0,159939.0,143271.0,153962.0,142001.0,166320.0,139103.0,188112.0,169192.0,146448.0,203756.0,161836.0,192708.0,157591.0,138577.0,173670.0,157445.0,195325.0,199114.0,208075.0,191032.0,211901.0,207116.0,203667.0,199334.0,191989.0,172879.0,210084.0,214936.0,215792.0,211565.0,238341.0,234536.0,242679.0,263608.0,234753.0,238788.0,232667.0,231196.0,267832.0,251982.0,289851.0,281049.0,248293.0,295243.0,269432.0,256536.0,258767.0,275158.0,239896.0,238639.0,258629.0,238897.0,262765.0,247286.0,215535.0,233410.0,233329.0,245340.0,226343.0,221087.0,234396.0,232567.0,239955.0,217750.0,273619.0,250625.0,275361.0,255837.0,256346.0,266823.0,262680.0,276268.0,273397.0,274081.0,257615.0,297424.0,309623.0,295353.0,296346.0,272955.0,264872.0,316056.0,262347.0,310426.0,310574.0,248997.0,301097.0,266878.0,272883.0,312344.0,295920.0,295314.0,287815.0,333743.0,306298.0,304941.0,279364.0,267217.0,302932.0,267390.0,304690.0,281592.0,269318.0,308563.0,307246.0,265145.0,293799.0,298234.0,253949.0,261924.0,267823.0,270993.0,302357.0,292521.0,263327.0,313942.0,324946.0,292477.0,299367.0,357162.0,283609.0,292874.0,292087.0,261458.0,311664.0,289110.0,326320.0,305978.0,304016.0,323814.0,285098.0,330304.0,266661.0,244028.0,318300.0,248914.0,330696.0,268437.0,297470.0,340677.0,279177.0,339151.0,307764.0,338969.0,284999.0,271868.0,298257.0,273215.0,298249.0,290224.0,301884.0,287377.0,288663.0,306329.0,269316.0,313643.0,281341.0,256240.0,281132.0,234024.0,275167.0,288535.0,291077.0,267982.0,286244.0,287285.0,270832.0,298239.0,261463.0,258206.0,323691.0,309265.0,150354.0,32952.0,38043.0,26597.0,28512.0,32361.0,27504.0,42268.0,37623.0,35632.0,36860.0,34949.0,42207.0,41359.0,40110.0,43649.0,45237.0,47013.0,47307.0,47293.0,45758.0,40418.0,43629.0,45348.0,57063.0,57573.0,60256.0,63282.0,60391.0,65855.0,65890.0,65921.0,62687.0,54814.0,77997.0,79440.0,79342.0
9,2.0,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96.0,"Spokane, WA",DR,DO,23023.0,21065.0,22692.0,22991.0,23343.0,19853.0,21214.0,21814.0,19896.0,24175.0,20537.0,20883.0,24302.0,23172.0,24420.0,24999.0,23688.0,22063.0,24351.0,22971.0,23345.0,26423.0,20421.0,22079.0,22526.0,22805.0,26749.0,25084.0,22671.0,23297.0,22810.0,22813.0,23396.0,23588.0,23582.0,23947.0,23201.0,22423.0,26620.0,23854.0,24935.0,23365.0,19644.0,22411.0,21859.0,22189.0,21678.0,21402.0,22438.0,21547.0,25965.0,21699.0,25329.0,21718.0,19927.0,22295.0,20412.0,25536.0,23399.0,20732.0,24470.0,22523.0,25184.0,22743.0,24767.0,22050.0,21008.0,22742.0,19794.0,25311.0,23505.0,20733.0,21932.0,23221.0,24087.0,26133.0,25312.0,22653.0,23208.0,22340.0,23801.0,26874.0,20550.0,16579.0,20713.0,22526.0,25221.0,25272.0,23961.0,23552.0,23344.0,21565.0,22523.0,23970.0,21485.0,23068.0,23204.0,22004.0,24387.0,23544.0,22102.0,21119.0,20036.0,20270.0,21171.0,21942.0,20062.0,18799.0,19199.0,18492.0,24520.0,21849.0,24561.0,21428.0,18925.0,21217.0,21031.0,22055.0,21923.0,20129.0,20954.0,21944.0,24168.0,22606.0,23607.0,19878.0,19741.0,22012.0,18958.0,23344.0,21806.0,18873.0,23762.0,21582.0,22140.0,23238.0,23758.0,19423.0,19475.0,18433.0,18278.0,22184.0,19354.0,19617.0,23332.0,20662.0,22699.0,22790.0,22675.0,19970.0,20175.0,17809.0,19271.0,22015.0,17298.0,19245.0,20082.0,19041.0,22144.0,21195.0,19223.0,20032.0,19578.0,17399.0,19294.0,20613.0,16195.0,17712.0,18824.0,18864.0,20745.0,18237.0,19301.0,18599.0,16200.0,19434.0,18691.0,19423.0,19574.0,18996.0,20117.0,18834.0,22497.0,19144.0,20845.0,19769.0,17798.0,20523.0,19161.0,21571.0,20730.0,18897.0,22683.0,19393.0,21854.0,21108.0,23062.0,20107.0,20627.0,22711.0,19958.0,24139.0,21235.0,18215.0,21100.0,17155.0,19783.0,21185.0,21562.0,17882.0,19381.0,18349.0,17804.0,21740.0,18034.0,17816.0,20028.0,17115.0,11277.0,5447.0,6161.0,8192.0,7354.0,7646.0,8133.0,8736.0,8598.0,9285.0,9598.0,9760.0,12106.0,11923.0,11346.0,12273.0,11750.0,12319.0,12891.0,13838.0,13264.0,12741.0,11683.0,12130.0,15725.0,14595.0,14658.0,14197.0,12146.0,14852.0,14291.0,15379.0,14914.0,13134.0,14999.0,14369.0,17538.0
