,Top 150,NTD ID,Agency,Mode,TOS,Month,Year,Estimated VRM
0,Y,12,Municipality of Anchorage,DR,PT,3/2023,2023,53751.0
1,N,376,"Ride Connection, Inc.",DR,DO,3/2023,2023,26213.0
2,N,376,"Ride Connection, Inc.",DR,TX,3/2023,2023,21949.0
3,N,376,"Ride Connection, Inc.",MB,DO,3/2023,2023,23803.0
4,N,415,Ada County Highway District,VP,DO,3/2023,2023,116900.0
5,Y,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,MB,DO,3/2023,2023,756633.0
6,Y,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,RB,DO,3/2023,2023,59394.0
7,N,10053,Cape Ann Transportation Authority,DR,PT,3/2023,2023,21716.0
8,N,10053,Cape Ann Transportation Authority,MB,PT,3/2023,2023,22522.0
9,Y,10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,MB,DO,3/2023,2023,387091.0
10,Y,10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,MB,DO,3/2023,2023,134857.0
11,N,10066,Green Mountain Transit Authority,CB,DO,3/2023,2023,40239.0
12,N,10066,Green Mountain Transit Authority,DR,DO,3/2023,2023,107041.0
13,N,10066,Green Mountain Transit Authority,DR,PT,3/2023,2023,59598.0
14,N,10066,Green Mountain Transit Authority,MB,DO,3/2023,2023,114831.0
15,Y,10102,Connecticut Department of Transportation,CB,PT,3/2023,2023,61450.0
16,Y,10102,Connecticut Department of Transportation,CR,PT,3/2023,2023,134485.0
17,N,10107,Milford Transit District,MB,DO,3/2023,2023,26426.0
18,N,10118,MetroWest Regional Transit Authority,DR,PT,3/2023,2023,66753.0
19,N,10118,MetroWest Regional Transit Authority,MB,PT,3/2023,2023,100031.0
20,N,11238,Bay State LLC,FB,DO,3/2023,2023,
21,N,20135,Monsey New Square Trails Corporation,CB,DO,3/2023,2023,87360.0
22,N,20149,"Rockland Coaches, Inc.",CB,DO,3/2023,2023,93696.0
23,N,20177,"Adirondack Transit Lines, Inc,",CB,DO,3/2023,2023,113578.0
24,N,20178,Ulster County ,DR,DO,3/2023,2023,11388.0
25,N,20217,"Hampton Jitney, Inc.",CB,DO,3/2023,2023,148177.0
26,N,30007,Greater Roanoke Transit Company,MB,DO,3/2023,2023,146099.0
27,N,30015,Luzerne County Transportation Authority,MB,DO,3/2023,2023,104512.0
28,N,30044,Westmoreland County ,MB,DO,3/2023,2023,82291.0
29,Y,30051,"Montgomery County, Maryland",DR,DO,3/2023,2023,2595.0
30,Y,30068,"Fairfax County, VA",MB,PT,3/2023,2023,969823.0
31,N,30070,Potomac and Rappahannock Transportation Commission,CB,PT,3/2023,2023,175026.0
32,N,30070,Potomac and Rappahannock Transportation Commission,DR,PT,3/2023,2023,983.0
33,N,30070,Potomac and Rappahannock Transportation Commission,MB,PT,3/2023,2023,119415.0
34,N,30070,Potomac and Rappahannock Transportation Commission,VP,PT,3/2023,2023,562061.0
35,N,30076,Williamsburg Area Transit Authority,DR,DO,3/2023,2023,14545.0
36,N,30076,Williamsburg Area Transit Authority,MB,DO,3/2023,2023,72392.0
37,N,30080,"Arlington County, Virginia",DR,PT,3/2023,2023,15731.0
38,N,30080,"Arlington County, Virginia",DR,TX,3/2023,2023,11239.0
39,N,30080,"Arlington County, Virginia",MB,PT,3/2023,2023,161188.0
40,N,30085,"Prince George's County, Maryland",DR,DO,3/2023,2023,25272.0
41,N,30129,Anne Arundel County,DR,PT,3/2023,2023,63617.0
42,N,30129,Anne Arundel County,MB,PT,3/2023,2023,76667.0
43,N,30205,"Transit Management of Central Maryland, Inc.",DR,TX,3/2023,2023,7857.0
44,N,40001,Chattanooga Area Regional Transportation Authority,IP,DO,3/2023,2023,2319.0
45,N,40001,Chattanooga Area Regional Transportation Authority,MB,DO,3/2023,2023,161942.0
46,N,40003,City of Memphis,DR,DO,3/2023,2023,149265.0
47,N,40003,City of Memphis,MB,DO,3/2023,2023,363111.0
48,N,40003,City of Memphis,SR,DO,3/2023,2023,5394.0
49,Y,40007,City of Raleigh,DR,TX,3/2023,2023,439537.0
50,N,40014,Ms Coast Transportation Authority,DR,DO,3/2023,2023,40218.0
51,N,40014,Ms Coast Transportation Authority,MB,DO,3/2023,2023,68076.0
52,N,40014,Ms Coast Transportation Authority,VP,PT,3/2023,2023,70997.0
53,N,40021,City of Albany ,DR,DO,3/2023,2023,5173.0
54,N,40021,City of Albany ,MB,DO,3/2023,2023,26463.0
55,N,40028,Lee County Transit,MB,DO,3/2023,2023,252093.0
56,N,40057,Jackson Transit Authority,DR,DO,3/2023,2023,18864.0
57,N,40057,Jackson Transit Authority,MB,DO,3/2023,2023,39540.0
58,N,40068,Northwest Alabama Council of Local Governments,DR,DO,3/2023,2023,32438.0
59,N,40068,Northwest Alabama Council of Local Governments,DR,TX,3/2023,2023,1407.0
60,Y,40077,South Florida Regional Transportation Authority,CR,PT,3/2023,2023,329368.0
61,Y,40077,South Florida Regional Transportation Authority,MB,PT,3/2023,2023,10134.0
62,N,40086,Metropolitan Bus Authority,DR,DO,3/2023,2023,44135.0
63,N,40086,Metropolitan Bus Authority,MB,DO,3/2023,2023,198142.0
64,Y,40087,City of Durham,DR,PT,3/2023,2023,57314.0
65,Y,40087,City of Durham,DR,TN,3/2023,2023,27846.0
66,Y,40087,City of Durham,MB,PT,3/2023,2023,215293.0
67,N,40140,Collier County,DR,PT,3/2023,2023,118537.0
68,N,40140,Collier County,MB,PT,3/2023,2023,119124.0
69,N,40175,Puerto Rico Maritime Transport Authority ,FB,PT,3/2023,2023,15925.0
70,N,40178,The Transportation Management Association Group,VP,DO,3/2023,2023,60841.0
71,Y,40180,University of Georgia,DR,DO,3/2023,2023,90.0
72,Y,40180,University of Georgia,MB,DO,3/2023,2023,56136.0
73,N,40196,Kentuckiana Regional Planning and Development Agency,VP,DO,3/2023,2023,40455.0
