,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,1/2002,2/2002,3/2002,4/2002,5/2002,6/2002,7/2002,8/2002,9/2002,10/2002,11/2002,12/2002,1/2003,2/2003,3/2003,4/2003,5/2003,6/2003,7/2003,8/2003,9/2003,10/2003,11/2003,12/2003,1/2004,2/2004,3/2004,4/2004,5/2004,6/2004,7/2004,8/2004,9/2004,10/2004,11/2004,12/2004,1/2005,2/2005,3/2005,4/2005,5/2005,6/2005,7/2005,8/2005,9/2005,10/2005,11/2005,12/2005,1/2006,2/2006,3/2006,4/2006,5/2006,6/2006,7/2006,8/2006,9/2006,10/2006,11/2006,12/2006,1/2007,2/2007,3/2007,4/2007,5/2007,6/2007,7/2007,8/2007,9/2007,10/2007,11/2007,12/2007,1/2008,2/2008,3/2008,4/2008,5/2008,6/2008,7/2008,8/2008,9/2008,10/2008,11/2008,12/2008,1/2009,2/2009,3/2009,4/2009,5/2009,6/2009,7/2009,8/2009,9/2009,10/2009,11/2009,12/2009,1/2010,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023
0,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,PT,746158.0,656324.0,726578.0,736975.0,746158.0,696633.0,746158.0,747339.0,695451.0,766920.0,696633.0,725396.0,761210.0,697454.0,777948.0,795216.0,787912.0,748855.0,793074.0,754939.0,752394.0,843825.0,701931.0,728026.0,747628.0,771845.0,883913.0,857232.0,841169.0,847193.0,825119.0,820359.0,806457.0,829771.0,895134.0,905623.0,774351.0,753949.0,848372.0,821603.0,886438.0,862034.0,843133.0,905209.0,845207.0,865101.0,812467.0,797799.0,798647.0,754978.0,870726.0,811068.0,869933.0,862697.0,864720.0,940351.0,882333.0,895883.0,765935.0,728139.0,789831.0,782401.0,872267.0,864049.0,963309.0,846949.0,848425.0,891059.0,799670.0,921386.0,829419.0,820341.0,746766.0,735504.0,760462.0,797155.0,794368.0,749376.0,793643.0,750790.0,745579.0,848123.0,714143.0,737948.0,841743.0,774171.0,853798.0,851673.0,816168.0,828250.0,855102.0,832296.0,832413.0,897303.0,782787.0,809271.0,778833.0,753302.0,867834.0,836731.0,808656.0,810494.0,812026.0,824703.0,816410.0,878178.0,763045.0,816721.0,835425.0,780800.0,922064.0,863560.0,877355.0,858632.0,807759.0,866152.0,821033.0,849680.0,800887.0,752367.0,708973.0,814776.0,867424.0,833241.0,882908.0,809746.0,812980.0,851610.0,767559.0,873579.0,794750.0,741422.0,823920.0,778181.0,832695.0,854336.0,872258.0,788483.0,825955.0,819781.0,760267.0,862747.0,745981.0,705354.0,768910.0,688770.0,748916.0,781409.0,761544.0,714233.0,726415.0,702592.0,693406.0,776224.0,654371.0,658414.0,585118.0,558914.0,599948.0,587702.0,574770.0,569771.0,562844.0,547513.0,528987.0,571210.0,502916.0,515948.0,628731.0,657129.0,706423.0,686973.0,681681.0,668495.0,633077.0,695930.0,655110.0,681981.0,641698.0,596968.0,635089.0,578776.0,701185.0,657496.0,693832.0,662008.0,632230.0,682834.0,613870.0,689045.0,644004.0,611734.0,695625.0,634643.0,707393.0,699070.0,735695.0,686858.0,696654.0,734015.0,649497.0,753757.0,686471.0,656197.0,722368.0,503211.0,718918.0,741892.0,760626.0,702880.0,749261.0,751070.0,702267.0,789753.0,691308.0,678059.0,597807.0,592710.0,330325.0,259298.0,181764.0,183951.0,336716.0,263311.0,278534.0,364814.0,259950.0,264006.0,257809.0,238318.0,294657.0,298143.0,304492.0,365419.0,376481.0,376779.0,373316.0,390184.0,394087.0,353114.0,361061.0,373994.0,422895.0,419149.0,460406.0,450482.0,435097.0,466737.0,430989.0,427958.0,393024.0,326840.0,427579.0,395828.0,465783.0
1,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41786.0,41157.0,42576.0,43591.0,41732.0,41163.0,46131.0,44640.0,47483.0,49966.0,44264.0,41495.0,40245.0,37264.0,42609.0,45041.0,43725.0,43901.0,39946.0,42947.0,41349.0,39463.0,40744.0,36973.0,38138.0,36129.0,37047.0,39695.0,44559.0,39122.0,38637.0,39607.0,38009.0,52414.0,44411.0,40847.0,52462.0,56396.0,56368.0,55929.0,59048.0,51149.0,53044.0,49770.0,56893.0,55413.0,54481.0,49333.0,58627.0,52449.0,53671.0,64318.0,65010.0,62334.0,68269.0,68128.0,80881.0,84663.0,73497.0,73846.0,94812.0,87531.0,94803.0,100893.0,101395.0,96051.0,103773.0,93449.0,103245.0,123339.0,124913.0,133044.0,121496.0,100648.0,122977.0,114731.0,115195.0,109099.0,109900.0,100016.0,96605.0,108270.0,109865.0,128127.0,102671.0,99110.0,117511.0,110213.0,124998.0,120174.0,116179.0,116451.0,113243.0,134457.0,134185.0,122253.0,117841.0,113737.0,130502.0,129546.0,149633.0,119019.0,118844.0,133160.0,147744.0,190425.0,177263.0,148118.0,167521.0,109557.0,173830.0,189250.0,184004.0,164778.0,159192.0,148010.0,177490.0,225844.0,181398.0,171530.0,176008.0,194082.0,51980.0,17964.0,34620.0,65413.0,68406.0,61551.0,66462.0,61964.0,56714.0,50086.0,43908.0,52464.0,74402.0,84945.0,85955.0,50120.0,70208.0,81182.0,92135.0,113811.0,102132.0,83695.0,85339.0,96275.0,144201.0,121749.0,119836.0,116063.0,116314.0,127804.0,126406.0,149808.0,150164.0,107633.0,132368.0,131115.0,150415.0
2,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",FB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3248.0,3440.0,3956.0,4622.0,5414.0,4920.0,4648.0,5120.0,4768.0,4728.0,3268.0,3572.0,3250.0,3264.0,3896.0,4238.0,4948.0,4912.0,4684.0,3952.0,4488.0,4652.0,3118.0,3360.0,3508.0,3192.0,3822.0,4534.0,4780.0,4566.0,4560.0,4990.0,4366.0,4896.0,3192.0,3300.0,4648.0,4474.0,4922.0,4760.0,4820.0,4474.0,4976.0,3704.0,4468.0,4664.0,2924.0,3528.0,3532.0,3192.0,3696.0,1568.0,1120.0,2016.0,3676.0,3528.0,3528.0,3576.0,2936.0,3580.0,3192.0,3192.0,3864.0,4128.0,4388.0,4616.0,4744.0,4656.0,4496.0,4364.0,3868.0,4098.0,4088.0,3804.0,4638.0,4274.0,4404.0,4434.0,4528.0,4734.0,4492.0,4308.0,3620.0,3912.0,4092.0,3844.0,4676.0
3,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",LR,DO,2655.0,2634.0,2916.0,2840.0,2927.0,3859.0,4329.0,4329.0,4064.0,3284.0,2841.0,2952.0,3165.0,2926.0,3146.0,3165.0,3238.0,4427.0,4578.0,4567.0,4427.0,3183.0,3018.0,3165.0,3146.0,3018.0,3275.0,3165.0,3220.0,4438.0,4567.0,4578.0,4427.0,3238.0,3238.0,4684.0,3146.0,2926.0,3275.0,3146.0,3238.0,4438.0,4556.0,4589.0,4427.0,3238.0,1914.0,,,,,,,,,,,,,,,,,,,,,,,,,,4856.0,4554.0,4876.0,4756.0,4897.0,4694.0,4917.0,4897.0,4694.0,4938.0,4653.0,4172.0,5125.0,4640.0,5082.0,4978.0,5061.0,4978.0,5168.0,5104.0,4914.0,5190.0,4849.0,5061.0,5029.0,4631.0,5136.0,4989.0,5029.0,4968.0,5115.0,5072.0,4904.0,5115.0,4904.0,5072.0,5019.0,4641.0,5148.0,5022.0,5019.0,4979.0,5303.0,5453.0,5193.0,5378.0,5188.0,5384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,DO,2878549.0,2558164.0,2840121.0,2855047.0,2899399.0,2714672.0,2875414.0,2888733.0,2681698.0,2616778.0,2415841.0,2503569.0,2959737.0,2607004.0,2892925.0,2907853.0,2893190.0,2829145.0,2938717.0,2882080.0,2847550.0,3105232.0,2792736.0,3031519.0,3002856.0,2751058.0,3135111.0,3016914.0,2929028.0,3016914.0,3002856.0,3061283.0,2943085.0,3002856.0,2943085.0,2972051.0,3147294.0,2851553.0,3310276.0,3119074.0,3147294.0,3184532.0,3081837.0,3310276.0,3103041.0,3163328.0,3103041.0,3163328.0,2586166.0,2343812.0,2695702.0,2503023.0,2640934.0,2596661.0,2547295.0,2695702.0,2503023.0,2640934.0,2541893.0,2547295.0,2666478.0,2360976.0,2681595.0,2564644.0,2666478.0,2564644.0,2620390.0,2727683.0,2457351.0,2727683.0,2564644.0,2559185.0,2728583.0,2520777.0,2682908.0,2686621.0,2682908.0,2624680.0,2728583.0,2682908.0,2624680.0,2790524.0,2517064.0,2728583.0,2669781.0,2465507.0,2714278.0,2671558.0,2609476.0,2671558.0,2714278.0,2669781.0,2611252.0,2730087.0,2550947.0,2714278.0,2581627.0,2428597.0,2728054.0,2628235.0,2581627.0,2628235.0,2636471.0,2673211.0,2573392.0,2636471.0,2573392.0,2709951.0,2666392.0,2474780.0,2781278.0,2640088.0,2666392.0,2679112.0,2627368.0,2781278.0,2621669.0,2734779.0,2670246.0,2734779.0,2661431.0,2645151.0,2797912.0,2680601.0,2802101.0,2676477.0,2695671.0,2806035.0,2534660.0,2825472.0,2631370.0,2587324.0,2742340.0,2505844.0,2707667.0,2717139.0,2757250.0,2585858.0,2722434.0,2740631.0,2577346.0,2818312.0,2568945.0,2606884.0,2702778.0,2474978.0,2683426.0,2688988.0,2671674.0,2623458.0,2698594.0,2643635.0,2626097.0,2680437.0,2418196.0,2551704.0,2589041.0,2410243.0,2661653.0,2618536.0,2562914.0,2657948.0,2687994.0,2649334.0,2624777.0,2823777.0,2625156.0,2740480.0,2651638.0,2602420.0,2804836.0,2697160.0,2730014.0,2708926.0,2636135.0,2790073.0,2688877.0,2765185.0,2681904.0,2693184.0,2711931.0,2507108.0,2859894.0,2665483.0,2806430.0,2750755.0,2697679.0,2848388.0,2673068.0,2881428.0,2756520.0,2694730.0,2810409.0,2546472.0,2867710.0,2762753.0,2861672.0,2763341.0,2791837.0,2914701.0,2674511.0,3012677.0,2910028.0,2978097.0,2965662.0,2515009.0,4885005.0,2788960.0,2843179.0,2650114.0,2798520.0,2840673.0,2700030.0,2935492.0,2705588.0,2779108.0,2623666.0,2442199.0,2623666.0,2567316.0,2554899.0,2567316.0,2623666.0,2593295.0,2528920.0,2631692.0,2490524.0,2623667.0,2574719.0,2383594.0,2663528.0,2570217.0,2574719.0,2570217.0,2606252.0,2631995.0,2538683.0,2606252.0,2538684.0,2600462.0,2521444.0,2308067.0,2580798.0,2462485.0,2516895.0,2489887.0,2489492.0,2580798.0,2457936.0,2521444.0,2457936.0,2521443.0,2370912.0,2149322.0,2437671.0
5,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67372.0,61966.0,66121.0,66955.0,66121.0,64669.0,67372.0,66121.0,64669.0,69659.0,61132.0,67372.0,63153.0,58852.0,64382.0,70806.0,68798.0,71850.0,72402.0,71125.0,72195.0,80670.0,65920.0,71340.0,67871.0,65579.0,74235.0,79178.0,75832.0,79178.0,78441.0,79729.0,76570.0,78441.0,76570.0,81017.0,72558.0,68893.0,78029.0,79288.0,78645.0,78527.0,73866.0,80530.0,74817.0,69362.0,62216.0,63646.0,60739.0,68042.0,85133.0,84916.0,88476.0,89483.0,89803.0,96340.0,83725.0,106150.0,93032.0,90319.0,87043.0,79641.0,85338.0,92566.0,93126.0,87801.0,93126.0,94683.0,86245.0,102423.0,87381.0,89447.0,101246.0,92666.0,99317.0,107262.0,106054.0,103561.0,107872.0,106054.0,103561.0,93942.0,76277.0,84326.0,75209.0,74814.0,86601.0,91384.0,87104.0,95918.0,97419.0,94759.0,93356.0,97186.0,83522.0,91083.0,87562.0,90035.0,98097.0,96879.0,96418.0,99667.0,93631.0,103856.0,95947.0,97350.0,90246.0,91382.0,76440.0,72660.0,82746.0,79970.0,85606.0,85132.0,80444.0,88658.0,79970.0,82836.0,76231.0,74224.0,79593.0,72660.0,80530.0,82080.0,85606.0,83022.0,82554.0,88658.0,76918.0,88658.0,76231.0,74224.0,83582.0,68837.0,85914.0,94671.0,94760.0,88778.0,93966.0,94750.0,87310.0,98562.0,83499.0,84205.0,78931.0,73257.0,75911.0,46797.0,43620.0,50367.0,60640.0,59313.0,66424.0,76956.0,70522.0,76702.0,82091.0,69748.0,83193.0,90723.0,88323.0,84605.0,90976.0,82551.0,87455.0,85435.0,77771.0,71180.0,73695.0,70300.0,77780.0,76855.0,76995.0,79662.0,74465.0,81438.0,76220.0,76145.0,74848.0,69294.0,79356.0,75561.0,78583.0
6,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117.0,4462.0,5140.0,5120.0,5370.0,5271.0,5303.0,5193.0,5126.0,5508.0,5317.0,5295.0,5452.0,4976.0,5184.0,5368.0,5095.0,5261.0,5452.0,5558.0,5181.0,5580.0,4895.0,5266.0,5249.0,4773.0,5229.0,5131.0,5249.0,5050.0,5209.0,5249.0,5050.0,5330.0,4871.0,5131.0,5125.0,4651.0,5095.0,4995.0,5052.0,4995.0,5095.0,5105.0,4923.0,5197.0,4751.0,4976.0,5264.0,12528.0,16626.0,18487.0,15736.0,17249.0,17527.0,17918.0,17158.0,17708.0,18015.0,17256.0,16814.0,15600.0,10565.0,16410.0,17081.0,16848.0,16683.0,17442.0,16430.0,16983.0,16369.0,16585.0,16558.0,15978.0,18302.0,17358.0,18085.0,17550.0,17350.0,18520.0,16680.0,17520.0,16621.0,17328.0,17414.0,15940.0,17788.0,15448.0,17687.0,16732.0,17589.0,17706.0,16684.0,18246.0,16994.0,17242.0,17233.0,16291.0,15310.0,8020.0,7932.0,6450.0,7824.0,9434.0,11521.0,16300.0,14822.0,16655.0,14926.0,15450.0,14823.0,13356.0,13900.0,15073.0,17061.0,17212.0,16509.0,16902.0,15619.0,16623.0,13601.0,13183.0,15836.0,14999.0,14775.0,14754.0,15339.0,15785.0,15498.0,15648.0,15846.0,15105.0,12807.0,11661.0,14414.0
7,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",TB,DO,315455.0,281498.0,312856.0,310397.0,316193.0,301878.0,317033.0,319469.0,299362.0,316112.0,296262.0,305074.0,310593.0,281308.0,312663.0,310161.0,312663.0,308996.0,322253.0,318698.0,305097.0,307628.0,272409.0,299385.0,282363.0,258910.0,292282.0,281574.0,276385.0,281574.0,282363.0,286305.0,275596.0,282363.0,275596.0,278290.0,294389.0,266797.0,308870.0,291734.0,294389.0,297259.0,288864.0,308870.0,290019.0,296105.0,290019.0,296105.0,260577.0,236156.0,270704.0,252385.0,265640.0,260876.0,257149.0,270704.0,252385.0,265640.0,255812.0,257149.0,242345.0,216602.0,243917.0,233764.0,242345.0,233764.0,240588.0,245674.0,228678.0,245674.0,233764.0,237260.0,243218.0,225964.0,241397.0,237976.0,241397.0,234591.0,243218.0,241397.0,234591.0,246602.0,229386.0,243218.0,235323.0,215216.0,237182.0,232065.0,232016.0,232065.0,237182.0,235323.0,228758.0,238629.0,225451.0,237182.0,231692.0,225564.0,257199.0,246654.0,231692.0,246654.0,239775.0,249116.0,238571.0,239775.0,238571.0,258456.0,243512.0,225827.0,256430.0,237738.0,243512.0,246229.0,235020.0,256430.0,239770.0,241480.0,239770.0,241480.0,235592.0,232568.0,240277.0,226469.0,229569.0,218410.0,219253.0,235386.0,208197.0,244126.0,224272.0,214523.0,242663.0,215996.0,234616.0,238021.0,248259.0,222096.0,251195.0,248720.0,229768.0,255507.0,226183.0,232162.0,247171.0,217640.0,228376.0,235323.0,245750.0,230281.0,259184.0,249041.0,244321.0,249573.0,204000.0,227161.0,238275.0,219498.0,236229.0,235186.0,221309.0,231273.0,240398.0,225850.0,242026.0,240846.0,229541.0,254925.0,239127.0,231632.0,266642.0,242338.0,246102.0,253422.0,257223.0,267748.0,262033.0,248203.0,266298.0,283078.0,263068.0,236505.0,276599.0,237413.0,274762.0,266488.0,246416.0,269963.0,255082.0,261813.0,257863.0,284549.0,266714.0,235482.0,259048.0,245570.0,276112.0,245880.0,252080.0,269910.0,237786.0,272036.0,255372.0,270256.0,264525.0,212762.0,221041.0,225092.0,229163.0,205683.0,234256.0,231812.0,220333.0,242297.0,213328.0,107650.0,204005.0,185681.0,204005.0,203830.0,186030.0,203830.0,204005.0,195046.0,194814.0,204061.0,185798.0,204005.0,212121.0,211252.0,242586.0,232141.0,212121.0,232141.0,222286.0,232420.0,221976.0,222286.0,221976.0,222255.0,217596.0,206355.0,236617.0,217004.0,217626.0,226530.0,208100.0,236616.0,217035.0,217596.0,217035.0,217595.0,230118.0,204066.0,220281.0
8,1.0,0001,King County Department of Metro Transit,Active,Full Reporter: Operating,14.0,"Seattle, WA",VP,DO,867289.0,749022.0,827867.0,867289.0,867289.0,788444.0,867289.0,867289.0,788444.0,906711.0,788444.0,827867.0,853288.0,699790.0,832782.0,827709.0,777578.0,809663.0,822882.0,750918.0,798024.0,867974.0,751741.0,826355.0,704403.0,614108.0,861602.0,730502.0,697216.0,676856.0,702473.0,721675.0,733618.0,733618.0,733618.0,733618.0,741915.0,703921.0,791929.0,792701.0,743674.0,784671.0,772222.0,812238.0,730671.0,846807.0,830202.0,743684.0,778811.0,718305.0,841320.0,703649.0,951557.0,855440.0,740803.0,1032002.0,818639.0,974806.0,797165.0,700987.0,878603.0,811861.0,897267.0,863050.0,915302.0,881161.0,893361.0,990111.0,834184.0,985218.0,867355.0,773943.0,922165.0,888271.0,910115.0,959671.0,928421.0,962182.0,1034652.0,988974.0,966986.0,1051124.0,933869.0,883598.0,1039633.0,978043.0,1048999.0,1052444.0,950439.0,1013339.0,1010417.0,963345.0,946217.0,1000356.0,899452.0,899849.0,920032.0,898967.0,1047110.0,994509.0,911156.0,988068.0,941184.0,969104.0,954281.0,950896.0,887866.0,904992.0,954623.0,908645.0,1088738.0,1024259.0,1043114.0,1081075.0,1004741.0,1165350.0,1087375.0,1076761.0,1091909.0,1019758.0,1054437.0,1141350.0,1214694.0,1176765.0,1228931.0,1172795.0,1171360.0,1275091.0,1094421.0,1263727.0,1117997.0,973229.0,1208202.0,1089129.0,1157743.0,1221449.0,1231453.0,1108458.0,1198053.0,1205490.0,1128013.0,1286458.0,1114951.0,1082714.0,1252973.0,1145764.0,1221093.0,1280273.0,1218167.0,1207346.0,1252463.0,1188229.0,1189974.0,1291275.0,1078945.0,1172132.0,1201875.0,1161838.0,1295980.0,1288279.0,1175666.0,1271153.0,1263163.0,1216847.0,1229349.0,1288120.0,1162164.0,1139115.0,1141359.0,1216064.0,1354382.0,1249262.0,1257455.0,1271062.0,1178405.0,1326693.0,1263263.0,1267638.0,1246137.0,1107604.0,1263931.0,1162322.0,1382926.0,1229163.0,1328872.0,1322367.0,1205915.0,1375782.0,1237852.0,1349537.0,1248256.0,1092455.0,1314715.0,1193112.0,1321655.0,1265586.0,1330854.0,1260830.0,1246520.0,1332815.0,1161921.0,1370895.0,1209316.0,1035494.0,1258841.0,969143.0,1242654.0,1306734.0,1311391.0,1198909.0,1280161.0,1269700.0,1204788.0,1349573.0,1160991.0,1095252.0,1200696.0,1177745.0,537650.0,216315.0,248228.0,291168.0,304317.0,299377.0,294416.0,261474.0,232680.0,231471.0,234810.0,223778.0,277826.0,267018.0,254543.0,281408.0,286223.0,297543.0,300104.0,301564.0,289408.0,250324.0,262856.0,281754.0,351251.0,353033.0,374368.0,390572.0,376877.0,426429.0,417126.0,424865.0,406245.0,348534.0,444836.0,418475.0,424303.0
9,2.0,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96.0,"Spokane, WA",DR,DO,119173.0,103021.0,111381.0,112203.0,122236.0,104936.0,113146.0,112567.0,104012.0,127525.0,109050.0,104457.0,120379.0,112942.0,119927.0,122079.0,115924.0,108070.0,120058.0,113313.0,116794.0,131534.0,101641.0,107498.0,111059.0,108913.0,120211.0,116286.0,102856.0,109192.0,106292.0,107014.0,107837.0,111426.0,114127.0,116170.0,107171.0,103557.0,118180.0,103556.0,107559.0,103557.0,87670.0,102848.0,97352.0,100377.0,98767.0,98746.0,104025.0,101928.0,101927.0,107899.0,120429.0,105122.0,91208.0,106521.0,97182.0,117998.0,107245.0,97773.0,115293.0,105106.0,116743.0,105096.0,116178.0,105014.0,100620.0,109052.0,94400.0,124519.0,113477.0,99519.0,105128.0,110678.0,114679.0,126020.0,122399.0,109989.0,113278.0,108859.0,114857.0,130540.0,100234.0,80590.0,102146.0,108374.0,118664.0,119588.0,111382.0,113982.0,110875.0,101892.0,103905.0,110222.0,100014.0,106327.0,108279.0,102569.0,116478.0,112322.0,103056.0,99996.0,95222.0,94720.0,99325.0,102492.0,93217.0,85795.0,89710.0,88019.0,114910.0,106440.0,111446.0,103400.0,91891.0,104365.0,104345.0,109154.0,108098.0,97073.0,103626.0,106441.0,118452.0,111532.0,113109.0,100727.0,103289.0,109213.0,91093.0,114494.0,108721.0,91489.0,115534.0,104929.0,108041.0,112655.0,112986.0,93684.0,94047.0,88064.0,88555.0,108936.0,93431.0,94089.0,113656.0,98537.0,105922.0,108742.0,105101.0,93693.0,95330.0,84676.0,93501.0,106444.0,85406.0,95426.0,100696.0,96894.0,112191.0,108008.0,98035.0,102392.0,98107.0,85973.0,97107.0,109288.0,89008.0,91507.0,93116.0,94612.0,106584.0,91865.0,96985.0,93075.0,81683.0,97002.0,94327.0,97450.0,99207.0,92987.0,99235.0,92296.0,111797.0,97646.0,105609.0,100283.0,92193.0,103051.0,96161.0,106136.0,101792.0,92431.0,111468.0,95596.0,108310.0,105846.0,113512.0,103707.0,110039.0,120529.0,103298.0,121347.0,107989.0,92170.0,108420.0,87696.0,99756.0,110824.0,113118.0,98872.0,108986.0,102148.0,100283.0,121886.0,99799.0,97636.0,109298.0,94780.0,73061.0,45615.0,54440.0,72724.0,67240.0,68575.0,70016.0,76456.0,75660.0,77306.0,82067.0,82452.0,104675.0,105165.0,87115.0,88823.0,84752.0,86335.0,85144.0,91544.0,86124.0,82750.0,83843.0,85970.0,104305.0,95773.0,93500.0,88885.0,77331.0,94910.0,89594.0,90952.0,88012.0,80608.0,87603.0,86171.0,108589.0
