,State,Year,Bicycle,Carpool,Drove alone,Public transportation,"Taxi, motorcycle, or other",Walked,Worked at home,Alternative Transportation
0,Alabama,2010,0.00118969,0.100058972,0.84472394,0.004080401,0.008120838,0.013245932,0.028580226,0.12669583299999998
1,Alabama,2011,0.001477519,0.099342949,0.848533795,0.004776084,0.008864092,0.010831046,0.026174515,0.12529169
2,Alabama,2012,0.001122882,0.094800038,0.852860887,0.004107931,0.009290032,0.011963536,0.025854694,0.121284419
3,Alabama,2013,0.000979023,0.08533986,0.86361079,0.004835628,0.009511446,0.010488957,0.025234295,0.111154914
4,Alabama,2014,0.0016967,0.085645498,0.858899905,0.004122692,0.009686534,0.011438031,0.02851064,0.11258945499999999
5,Alabama,2015,0.000871392,0.089849348,0.854974567,0.003015326,0.008596114,0.01100052,0.031692733,0.1133327
6,Alabama,2016,0.001027669,0.080385118,0.861186319,0.003084954,0.009285546,0.011628241,0.033402153,0.105411528
7,Alabama,2017,0.001008024,0.084985494,0.856648082,0.003543266,0.008524607,0.011556515,0.033734012,0.109617906
8,Alabama,2018,0.000701637,0.07867332,0.862994555,0.00337666,0.008888695,0.010839354,0.034525778,0.10247966600000001
9,Alabama,2019,0.00139455,0.086711383,0.851668352,0.004155065,0.009844322,0.012281036,0.033945292,0.114386356
10,Alabama,2020,,0.078360709,0.81369521,0.003474662,0.018706504,,0.085762915,0.100541875
11,Alabama,2021,0.001006655,0.076352935,0.805016928,0.002298683,0.009658347,0.009264458,0.096401993,0.09858107799999999
12,Alaska,2010,0.013225634,0.132128215,0.670063828,0.011746413,0.039257594,0.078820933,0.054757384,0.275178789
13,Alaska,2011,0.010201361,0.123987534,0.682232487,0.018562004,0.040920129,0.075713135,0.048383351,0.269384163
14,Alaska,2012,0.011061035,0.133139073,0.66171575,0.016114783,0.048296674,0.073865501,0.055807184,0.282477066
15,Alaska,2013,0.00995595,0.129866173,0.666819462,0.018416551,0.043750839,0.088228389,0.042962636,0.290217902
16,Alaska,2014,0.009133907,0.120322039,0.694524945,0.013092583,0.044208,0.079980847,0.038737678,0.266737376
17,Alaska,2015,0.011157474,0.125973972,0.679135165,0.015445845,0.044632652,0.079325208,0.044329684,0.276535151
18,Alaska,2016,0.009922713,0.121988732,0.690433402,0.012075391,0.037687016,0.07615131,0.051741436,0.257825162
19,Alaska,2017,0.007751607,0.118292426,0.693078495,0.016587813,0.045259934,0.073527821,0.045501904,0.261419601
20,Alaska,2018,0.012388753,0.122700146,0.679859202,0.012329665,0.042349108,0.077649879,0.052723247,0.267417551
21,Alaska,2019,0.006643588,0.119993368,0.699592065,0.00964235,0.050144221,0.070701036,0.043283373,0.257124563
22,Alaska,2020,,0.111065791,0.639187298,0.010842486,0.123918319,,0.114986106,0.245826596
23,Alaska,2021,0.008526156,0.110781865,0.661998412,0.008671554,0.039149943,0.067749787,0.103122283,0.23487930499999998
24,Arizona,2010,0.008506625,0.116392349,0.764840633,0.017861127,0.014865901,0.019982539,0.057550826,0.17760854099999998
25,Arizona,2011,0.011012903,0.116467509,0.758428158,0.019831603,0.017282327,0.021968829,0.055008671,0.186563171
26,Arizona,2012,0.009044766,0.110429331,0.76716799,0.020065435,0.018640272,0.020164634,0.054487572,0.178344438
27,Arizona,2013,0.009719904,0.110382795,0.762538887,0.023593086,0.018494793,0.020687244,0.054583291,0.18287782200000002
28,Arizona,2014,0.010862087,0.104437362,0.769272904,0.020347211,0.018036144,0.019955205,0.057089086,0.173638009
29,Arizona,2015,0.010265449,0.106169995,0.770593577,0.020583317,0.016408441,0.020911624,0.055067598,0.17433882599999997
30,Arizona,2016,0.008309213,0.109806635,0.764971134,0.018500854,0.016651503,0.018317422,0.06344324,0.17158562700000002
31,Arizona,2017,0.008188196,0.110036777,0.765407385,0.017981952,0.01564992,0.019901819,0.062833952,0.171758664
32,Arizona,2018,0.008061209,0.109816524,0.761437554,0.016921262,0.018722756,0.017412034,0.067628661,0.170933785
33,Arizona,2019,0.007690101,0.106487569,0.756369452,0.016792719,0.017807241,0.019061048,0.07579187,0.16783867800000002
34,Arizona,2020,,0.093300163,0.675934226,0.011310021,0.039329146,,0.180126443,0.14393933
35,Arizona,2021,0.004061053,0.088864222,0.65844538,0.009382705,0.016149399,0.015651866,0.207445375,0.134109245
