Mode,State,Year,Total,Total,Air,Air,Highway,Highway,Transit,Transit,Water,Water
Type,,,Expenditure,Revenue,Expenditure,Revenue,Expenditure,Revenue,Expenditure,Revenue,Expenditure,Revenue
0,Alabama,2004,31268214.0,31898043.0,103465.0,76387.0,2610892.0,799551.0,42112.0,12956.0,59270.0,78119.0
1,Alabama,2005,31752413.0,33376997.0,117439.0,76786.0,2891777.0,851880.0,53673.0,6840.0,69998.0,87289.0
2,Alabama,2006,33777872.0,35746030.0,108866.0,85735.0,3117224.0,908548.0,53679.0,6169.0,99926.0,88473.0
3,Alabama,2007,35780780.0,40652798.0,141235.0,81517.0,3113556.0,896611.0,62958.0,6815.0,181571.0,110031.0
4,Alabama,2008,37855331.0,30966318.0,146693.0,91052.0,3021923.0,879950.0,74073.0,5181.0,176795.0,125295.0
5,Alabama,2009,41171406.0,33896509.0,232744.0,94737.0,3577298.0,863220.0,62866.0,5852.0,263871.0,103420.0
6,Alabama,2010,42255101.0,42188979.0,241908.0,94645.0,3194874.0,875559.0,65662.0,5771.0,132976.0,106460.0
7,Alabama,2011,42380444.0,41381661.0,187434.0,99174.0,3336325.0,863508.0,67325.0,5611.0,112157.0,121533.0
8,Alabama,2012,44777598.0,44473033.0,190036.0,104107.0,3381490.0,865512.0,64059.0,4041.0,122808.0,144686.0
9,Alabama,2013,46678459.0,46031370.0,195534.0,104694.0,3514481.0,875572.0,60776.0,4554.0,139837.0,147508.0
10,Alabama,2014,46627962.0,44391144.0,164291.0,108185.0,3417147.0,847795.0,60617.0,4659.0,175274.0,162318.0
11,Alabama,2015,47322321.0,43614708.0,121337.0,109911.0,3600401.0,894700.0,61601.0,4855.0,129975.0,289772.0
12,Alabama,2016,47285873.0,46651306.0,111014.0,111759.0,3660789.0,928747.0,67286.0,4543.0,115226.0,119690.0
13,Alabama,2017,46961537.0,49971701.0,137938.0,121591.0,3713553.0,948919.0,72087.0,5229.0,91218.0,125872.0
14,Alabama,2018,48238993.0,51536325.0,120654.0,124520.0,4391237.0,1013944.0,73341.0,5499.0,92201.0,134936.0
15,Alabama,2019,50276684.0,53171724.0,169091.0,131838.0,4045705.0,997531.0,72438.0,5358.0,155826.0,158449.0
16,Alabama,2020,52646924.0,55343113.0,220896.0,130237.0,4003291.0,1172247.0,81056.0,5183.0,159899.0,139822.0
17,Alaska,2004,10016276.0,11031362.0,271598.0,85880.0,1363897.0,154587.0,26806.0,4588.0,43663.0,37395.0
18,Alaska,2005,10026883.0,11404052.0,73418.0,106897.0,1884119.0,173984.0,35349.0,5007.0,51443.0,42967.0
19,Alaska,2006,10797128.0,13246588.0,77221.0,113705.0,1999602.0,181579.0,40484.0,7395.0,62977.0,48340.0
20,Alaska,2007,11658984.0,15542480.0,98541.0,123296.0,2153882.0,179476.0,47054.0,5260.0,93696.0,50632.0
21,Alaska,2008,12903682.0,19086790.0,100309.0,130896.0,2363671.0,186394.0,48277.0,6142.0,115620.0,56626.0
22,Alaska,2009,14546360.0,12599251.0,99714.0,107903.0,2686385.0,150259.0,59249.0,5487.0,220919.0,61512.0
23,Alaska,2010,14450380.0,15643406.0,100560.0,114837.0,2724496.0,176091.0,50625.0,6424.0,148209.0,60867.0
24,Alaska,2011,14580270.0,18353715.0,112708.0,119670.0,2568672.0,186443.0,61339.0,5890.0,110472.0,57923.0
25,Alaska,2012,14635366.0,18197986.0,361565.0,115414.0,1805566.0,190474.0,60318.0,6863.0,99593.0,56975.0
26,Alaska,2013,15488434.0,17583374.0,309963.0,116987.0,2013078.0,204969.0,54529.0,7775.0,143625.0,69608.0
27,Alaska,2014,16465540.0,16294653.0,259941.0,137689.0,2392945.0,202683.0,58492.0,7831.0,153351.0,69089.0
28,Alaska,2015,16856025.0,11931622.0,328665.0,156295.0,2410166.0,180390.0,47726.0,7718.0,169256.0,72226.0
29,Alaska,2016,15839199.0,11497088.0,296850.0,160823.0,2482448.0,200821.0,53694.0,7242.0,170528.0,76338.0
30,Alaska,2017,14939769.0,14321897.0,376461.0,192599.0,2131721.0,196868.0,50601.0,6487.0,148143.0,80954.0
31,Alaska,2018,16461035.0,13787654.0,403435.0,203521.0,2265047.0,189883.0,54424.0,5939.0,128089.0,74852.0
32,Alaska,2019,14934777.0,13884789.0,398376.0,198123.0,2010865.0,201943.0,50744.0,5743.0,139117.0,78260.0
33,Alaska,2020,15076507.0,14035106.0,316311.0,191591.0,2171353.0,180065.0,54972.0,5396.0,185239.0,85825.0
34,Arizona,2004,36076186.0,38387677.0,627083.0,287629.0,3290471.0,851001.0,433429.0,32614.0,0.0,0.0
35,Arizona,2005,39457745.0,41056844.0,632627.0,302210.0,3209331.0,906876.0,380380.0,38552.0,,
36,Arizona,2006,42818119.0,46860817.0,404323.0,334206.0,3835481.0,992733.0,706360.0,41140.0,,
37,Arizona,2007,47132004.0,51243463.0,576589.0,466876.0,4234541.0,1029671.0,845370.0,68683.0,0.0,0.0
38,Arizona,2008,52383683.0,47110986.0,548399.0,477143.0,4799416.0,1003259.0,951239.0,73124.0,0.0,0.0
39,Arizona,2009,53906003.0,42569515.0,553126.0,433335.0,4917472.0,1059621.0,1040435.0,99209.0,0.0,0.0
40,Arizona,2010,53431950.0,54098791.0,591838.0,439787.0,4366115.0,1027777.0,823173.0,104441.0,0.0,0.0
41,Arizona,2011,52572172.0,58588756.0,629611.0,451969.0,3991635.0,1017249.0,652646.0,112342.0,0.0,0.0
42,Arizona,2012,51103967.0,51485552.0,576527.0,444411.0,3731347.0,1090619.0,719627.0,134829.0,0.0,0.0
43,Arizona,2013,52177678.0,57888262.0,521514.0,442666.0,3600716.0,1003478.0,846494.0,116113.0,0.0,0.0
44,Arizona,2014,53732114.0,59764108.0,514780.0,463213.0,3163745.0,1011504.0,903151.0,117281.0,0.0,0.0
45,Arizona,2015,51738519.0,56825852.0,482942.0,482887.0,3410729.0,1001662.0,832877.0,115185.0,0.0,0.0
46,Arizona,2016,56101988.0,59058409.0,519142.0,482654.0,3801960.0,1166111.0,752476.0,105667.0,0.0,0.0
47,Arizona,2017,60084606.0,66789025.0,529059.0,488679.0,3953216.0,1116587.0,761110.0,103456.0,0.0,0.0
48,Arizona,2018,62755470.0,68945106.0,687539.0,452138.0,4178752.0,1136540.0,978693.0,100787.0,0.0,0.0
49,Arizona,2019,66574868.0,71245982.0,769380.0,470286.0,4513684.0,1189034.0,993631.0,98986.0,0.0,0.0
50,Arizona,2020,71488388.0,73442489.0,833000.0,419478.0,4792724.0,1170155.0,1032701.0,84502.0,0.0,0.0
51,Arkansas,2004,16350803.0,18026873.0,43506.0,36320.0,2066918.0,707591.0,27926.0,2513.0,3003.0,1195.0
52,Arkansas,2005,16681802.0,18865934.0,70591.0,38571.0,1739620.0,634135.0,29512.0,2303.0,2537.0,1332.0
