State,Government,Mode,Type,Year,Amount (thousands)
United States,State and Local,Total,Expenditure,2020,4230373319
United States,State and Local,Total,Revenue,2020,4278593485
United States,State and Local,Total,Expenditure,2019,3981748616
United States,State and Local,Total,Revenue,2019,4074320642
United States,State and Local,Total,Expenditure,2018,3818604211
United States,State and Local,Total,Revenue,2018,4099940468
United States,State and Local,Total,Expenditure,2017,3669857565
United States,State and Local,Total,Revenue,2017,3930748335
United States,State and Local,Total,Expenditure,2016,3532824918
United States,State and Local,Total,Revenue,2016,3408694937
United States,State and Local,Total,Expenditure,2015,3405438716
United States,State and Local,Total,Revenue,2015,3416065033
United States,State and Local,Total,Expenditure,2014,3290056977
United States,State and Local,Total,Revenue,2014,3629158592
United States,State and Local,Total,Expenditure,2013,3191151039
United States,State and Local,Total,Revenue,2013,3432010291
United States,State and Local,Total,Expenditure,2012,3158292614
United States,State and Local,Total,Revenue,2012,2992556766
United States,State and Local,Total,Expenditure,2011,3159581385
United States,State and Local,Total,Revenue,2011,3440608614
United States,State and Local,Total,Expenditure,2010,3115171744
United States,State and Local,Total,Revenue,2010,3180023050
United States,State and Local,Total,Expenditure,2009,2993874267
United States,State and Local,Total,Revenue,2009,2098595407
United States,State and Local,Total,Expenditure,2008,2839547849
United States,State and Local,Total,Revenue,2008,2620868024
United States,State and Local,Total,Expenditure,2007,2667470141
United States,State and Local,Total,Revenue,2007,3068075180
United States,State and Local,Total,Expenditure,2006,2502263859
United States,State and Local,Total,Revenue,2006,2742151182
United States,State and Local,Total,Expenditure,2005,2368316211
United States,State and Local,Total,Revenue,2005,2528546342
United States,State and Local,Total,Expenditure,2004,2266647123
United States,State and Local,Total,Revenue,2004,2434155253
United States,State and Local,Air,Expenditure,2020,33308462
United States,State and Local,Air,Revenue,2020,26148866
United States,State and Local,Air,Expenditure,2019,31383343
United States,State and Local,Air,Revenue,2019,26491762
United States,State and Local,Air,Expenditure,2018,28606887
United States,State and Local,Air,Revenue,2018,25160961
United States,State and Local,Air,Expenditure,2017,26001414
United States,State and Local,Air,Revenue,2017,24413145
United States,State and Local,Air,Expenditure,2016,24009201
United States,State and Local,Air,Revenue,2016,22671980
United States,State and Local,Air,Expenditure,2015,22675172
United States,State and Local,Air,Revenue,2015,21760229
